date,ticker,price
2024-01-01,AAPL,151.569246966263
2024-01-02,AAPL,150.13792292009308
2024-01-03,AAPL,149.8741314380637
2024-01-04,AAPL,150.25473809050902
2024-01-05,AAPL,150.15188574217203
2024-01-06,AAPL,151.20411700361223
2024-01-07,AAPL,153.22416846000021
2024-01-08,AAPL,152.91859304897318
2024-01-09,AAPL,152.32322828476867
2024-01-10,AAPL,152.56559143762865
2024-01-11,AAPL,153.0693043105784
2024-01-12,AAPL,154.05588400523135
2024-01-13,AAPL,154.39446740636168
2024-01-14,AAPL,154.09978410753308
2024-01-15,AAPL,154.2598821320804
2024-01-16,AAPL,154.5298334235951
2024-01-17,AAPL,154.90871285638346
2024-01-18,AAPL,154.75023168152444
2024-01-19,AAPL,153.89651620597405
2024-01-20,AAPL,155.7233356507998
