date,ticker,price
2024-01-01,AAPL,150.10436893901291
2024-01-02,AAPL,150.0154814498598
2024-01-03,AAPL,150.14747048167445
2024-01-04,AAPL,149.29228771744266
2024-01-05,AAPL,149.92608434919592
2024-01-06,AAPL,149.27399048132781
2024-01-07,AAPL,148.8637215574141
2024-01-08,AAPL,150.23827001293662
2024-01-09,AAPL,150.65596449504048
2024-01-10,AAPL,149.85405279539927
2024-01-11,AAPL,148.43384739887316
2024-01-12,AAPL,148.42500568104805
2024-01-13,AAPL,149.07901383595214
2024-01-14,AAPL,149.19302077155754
2024-01-15,AAPL,148.71223638622854
2024-01-16,AAPL,149.28171460354758
2024-01-17,AAPL,149.65636090889578
2024-01-18,AAPL,148.3734143411448
2024-01-19,AAPL,150.30521872389411
2024-01-20,AAPL,150.8904608619785
