date,ticker,price
2024-01-01,AAPL,150.85273215473188
2024-01-02,AAPL,150.82496717767754
2024-01-03,AAPL,151.00510968905857
2024-01-04,AAPL,150.72086935001323
2024-01-05,AAPL,151.17419749016935
2024-01-06,AAPL,151.94513846125668
2024-01-07,AAPL,151.9394143534596
2024-01-08,AAPL,153.10026639224108
2024-01-09,AAPL,154.29418189492665
2024-01-10,AAPL,153.6268017685474
2024-01-11,AAPL,151.96289603919368
2024-01-12,AAPL,150.99211341795058
2024-01-13,AAPL,152.00616719914927
2024-01-14,AAPL,152.61006128083508
2024-01-15,AAPL,154.04773573563008
2024-01-16,AAPL,154.81320030748392
2024-01-17,AAPL,156.57804382138207
2024-01-18,AAPL,155.97321653928103
2024-01-19,AAPL,155.07541417767774
2024-01-20,AAPL,152.99847164376655
